pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
1q9l	B	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	08/25/03	S25-2 Fab Unliganded 2	MUS MUSCULUS	mus musculus	mus musculus		Nguyen, H.P., Seto, N.O., MacKenzie, C.R., Brade, L., Kosma, P., Brade, H., Evans, S.V.	2.28	X-RAY DIFFRACTION	0.286	0.216	False	False	IGHV7	IGKV8	Kappa	None	None	None	None	None
7db6	E	E	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(i) subunit alpha-1 | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	SIGNALING PROTEIN	10/19/20	human melatonin receptor MT1 - Gi1 complex	HOMO SAPIENS; RATTUS RATTUS; BOS TAURUS; MUS MUSCULUS	mus musculus		homo sapiens | rattus rattus	Okamoto, H.H., Kusakizako, T., Shihioya, W., Yamashita, K., Nishizawa, T., Nureki, O.	3.3	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
5xhf	B	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/20/17	Crystal structure of Trastuzumab Fab fragment bearing p-azido-L-phenylalanine	MUS MUSCULUS	mus musculus	mus musculus		Kuratani, M., Yanagisawa, T., Sakamoto, K., Yokoyama, S.	3.205	X-RAY DIFFRACTION	0.297	0.219	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
5xhf	D	C	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/20/17	Crystal structure of Trastuzumab Fab fragment bearing p-azido-L-phenylalanine	MUS MUSCULUS	mus musculus	mus musculus		Kuratani, M., Yanagisawa, T., Sakamoto, K., Yokoyama, S.	3.205	X-RAY DIFFRACTION	0.297	0.219	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7ljb	E	D	0	A	protein	NA	isoform 2 of potassium channel subfamily k member 4	METAL TRANSPORT/Immune System	01/28/21	Human TRAAK K+ channel mutant G158D in a K+ bound conductive conformation	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Rietmeijer, R.A., Brohawn, S.G.	2.97	X-RAY DIFFRACTION	0.240	0.196	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
7ljb	G	F	0	B	protein	NA	isoform 2 of potassium channel subfamily k member 4	METAL TRANSPORT/Immune System	01/28/21	Human TRAAK K+ channel mutant G158D in a K+ bound conductive conformation	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Rietmeijer, R.A., Brohawn, S.G.	2.97	X-RAY DIFFRACTION	0.240	0.196	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
6x78	H	L	0	G	peptide	NA	hiv fusion peptide 512-519 v2	IMMUNE SYSTEM/VIRAL PROTEIN	05/29/20	Vaccine-elicited mouse FP-targeting neutralizing antibody vFP48.03 in complex with HIV fusion peptide (residue 512-519)	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	human immunodeficiency virus 1	Xu, K., Kwong, P.D.	2.359	X-RAY DIFFRACTION	0.226	0.178	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
6x78	B	A	0	I	peptide	NA	hiv fusion peptide 512-519 v2	IMMUNE SYSTEM/VIRAL PROTEIN	05/29/20	Vaccine-elicited mouse FP-targeting neutralizing antibody vFP48.03 in complex with HIV fusion peptide (residue 512-519)	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	human immunodeficiency virus 1	Xu, K., Kwong, P.D.	2.359	X-RAY DIFFRACTION	0.226	0.178	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
5i4f	A	A	0	a	Hapten	6DM	6-O-alpha-D-mannopyranosyl-alpha-D-mannopyranose	IMMUNE SYSTEM	02/12/16	scFv 2D10 complexed with alpha 1,6 mannobiose	MUS MUSCULUS	mus musculus			Vashisht, S., Kumar, A., Kaur, K.J., Salunke, D.M.	1.549	X-RAY DIFFRACTION	0.193	0.167	True	True	unknown	unknown	unknown	None	None	None	None	None
6y54	O	P	0	P	unknown	OA8	unknown	IMMUNE SYSTEM	02/24/20	Crystal structure of a Neisseria meningitidis serogroup A capsular oligosaccharide bound to a functional Fab	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Dello Iacono, L., Henriques, P., Adamo, R.	2.67	X-RAY DIFFRACTION	0.267	0.210	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
6y54	M	N	0	N	unknown	OAB	unknown	IMMUNE SYSTEM	02/24/20	Crystal structure of a Neisseria meningitidis serogroup A capsular oligosaccharide bound to a functional Fab	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Dello Iacono, L., Henriques, P., Adamo, R.	2.67	X-RAY DIFFRACTION	0.267	0.210	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
6y54	H	L	0	L	unknown	OAB	unknown	IMMUNE SYSTEM	02/24/20	Crystal structure of a Neisseria meningitidis serogroup A capsular oligosaccharide bound to a functional Fab	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Dello Iacono, L., Henriques, P., Adamo, R.	2.67	X-RAY DIFFRACTION	0.267	0.210	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
4jn2	H	L	0	L	Hapten	C24	3-({2-[(4-CARBAMIMIDOYL-PHENYLAMINO)-METHYL]-3-METHYL-3H-BENZOIMIDAZOLE-5-CARBONYL}-PYRIDIN-2-YL-AMINO)-PROPIONIC ACID ETHYL ESTER	immune system/inhibitor	03/14/13	An Antidote for Dabigatran	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Schiele, F., Nar, H.	1.71	X-RAY DIFFRACTION	0.182	0.167	False	True	IGHV4	IGKV2	Kappa	None	None	None	None	None
4jn2	B	A	0	A	Hapten	C24	3-({2-[(4-CARBAMIMIDOYL-PHENYLAMINO)-METHYL]-3-METHYL-3H-BENZOIMIDAZOLE-5-CARBONYL}-PYRIDIN-2-YL-AMINO)-PROPIONIC ACID ETHYL ESTER	immune system/inhibitor	03/14/13	An Antidote for Dabigatran	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Schiele, F., Nar, H.	1.71	X-RAY DIFFRACTION	0.182	0.167	False	True	IGHV4	IGKV2	Kappa	None	None	None	None	None
5w05	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	05/30/17	ANTI-TISSUE FACTOR ANTIBODY M59, A HUMANIZED VERSION OF 10H10	MUS MUSCULUS	mus musculus	mus musculus		Teplyakov, A., Obmolova, G., Malia, T.J., Gilliland, G.L.	1.64	X-RAY DIFFRACTION	0.204	0.187	False	True	IGHV5	IGKV2	Kappa	None	None	None	None	None
7zwm	B	C	0	A	protein	NA	gametocyte surface protein p45/48	CELL ADHESION	05/19/22	Pfs48/45 central and C-terminal domains bound to Fab fragments of monoclonal antibody 10D8 and 32F3	Mus musculus; Plasmodium falciparum	mus musculus	mus musculus	plasmodium falciparum	Ko, K.T., Lennartz, F.L., Higgins, M.K.	3.69	X-RAY DIFFRACTION	0.280	0.255	False	True	IGHV5	IGKV4	Kappa	None	None	None	None	None
7zwm	G	H	0	F	protein	NA	gametocyte surface protein p45/48	CELL ADHESION	05/19/22	Pfs48/45 central and C-terminal domains bound to Fab fragments of monoclonal antibody 10D8 and 32F3	Mus musculus; Plasmodium falciparum	mus musculus	mus musculus	plasmodium falciparum	Ko, K.T., Lennartz, F.L., Higgins, M.K.	3.69	X-RAY DIFFRACTION	0.280	0.255	False	True	IGHV5	IGKV4	Kappa	None	None	None	None	None
7zwm	D	E	0	A	protein	NA	gametocyte surface protein p45/48	CELL ADHESION	05/19/22	Pfs48/45 central and C-terminal domains bound to Fab fragments of monoclonal antibody 10D8 and 32F3	Mus musculus; Plasmodium falciparum	mus musculus	mus musculus	plasmodium falciparum	Ko, K.T., Lennartz, F.L., Higgins, M.K.	3.69	X-RAY DIFFRACTION	0.280	0.255	False	True	IGHV5	IGKV8	Kappa	None	None	None	None	None
7zwm	I	J	0	F	protein	NA	gametocyte surface protein p45/48	CELL ADHESION	05/19/22	Pfs48/45 central and C-terminal domains bound to Fab fragments of monoclonal antibody 10D8 and 32F3	Mus musculus; Plasmodium falciparum	mus musculus	mus musculus	plasmodium falciparum	Ko, K.T., Lennartz, F.L., Higgins, M.K.	3.69	X-RAY DIFFRACTION	0.280	0.255	False	True	IGHV5	IGKV8	Kappa	None	None	None	None	None
3wfd	H	L	0	B | C	protein | protein	NA | NA	nitric oxide reductase subunit b | nitric oxide reductase subunit c	IMMUNE SYSTEM/OXIDOREDUCTASE	07/18/13	Reduced and acetaldoxime-bound cytochrome c-dependent nitric oxide reductase (cNOR) from Pseudomonas aeruginosa in complex with antibody fragment	MUS MUSCULUS; PSEUDOMONAS AERUGINOSA	mus musculus	mus musculus	pseudomonas aeruginosa | pseudomonas aeruginosa	Sato, N., Ishii, S., Hino, T., Sugimoto, H., Fukumori, Y., Shiro, Y., Tosha, T.	2.3	X-RAY DIFFRACTION	0.232	0.191	False	False	IGHV1	IGKV16	Kappa	None	None	None	None	None
5w3o	D	E	0	B | A | C	protein | protein | protein	NA | NA | NA	viral protein 3 | viral protein 1 | viral protein 2	VIRUS LIKE PARTICLE/IMMUNE SYSTEM	06/08/17	CryoEM structure of rhinovirus B14 in complex with C5 Fab (33 degrees Celsius, molar ratio 1:3, empty particle)	MUS MUSCULUS; HUMAN RHINOVIRUS 14	mus musculus	mus musculus	human rhinovirus 14 | human rhinovirus 14 | human rhinovirus 14	Liu, Y., Dong, Y., Rossmann, M.G.	3.01	ELECTRON MICROSCOPY	NA	NA	False	False	IGHV2	IGKV12	Kappa	None	None	None	None	None
6qee	C	B	0	A	protein	NA	abcb1hm-eq	MEMBRANE PROTEIN	01/07/19	Nanodisc reconstituted Human-mouse chimeric ABCB1 (ABCB1HM)-EQ mutant in complex with UIC2 Fab and Zosuquidar.	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Alam, A.	3.9	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
7uen	H	L	0	A	carbohydrate	GAL	BETA-D-GALACTOSE	IMMUNE SYSTEM	03/22/22	Genetic and structural basis of the human anti-alpha-galactosyl antibody response	Mus musculus	mus musculus	mus musculus		Langley, D.B., Christ, D.	1.55	X-RAY DIFFRACTION	0.175	0.128	False	True	IGHV6	IGKV1	Kappa	None	None	None	None	None
1g7h	B	A	0	C	protein	NA	lysozyme c	HYDROLASE INHIBITOR/HYDROLASE	11/10/00	CRYSTAL STRUCTURE OF HEN EGG WHITE LYSOZYME (HEL) COMPLEXED WITH THE MUTANT ANTI-HEL MONOCLONAL ANTIBODY D1.3(VLW92A)	MUS MUSCULUS; GALLUS GALLUS	mus musculus	mus musculus	gallus gallus	Sundberg, E.J., Urrutia, M., Braden, B.C., Isern, J., Mariuzza, R.A.	1.85	X-RAY DIFFRACTION	unknown	0.203	False	True	IGHV2	IGKV12	Kappa	None	None	None	None	None
43ca	D	C	0	C	Hapten	NPO	P-NITROPHENOL	IMMUNOGLOBULIN	03/10/99	CRYSTALLOGRAPHIC STRUCTURE OF THE ESTEROLYTIC AND AMIDOLYTIC 43C9 ANTIBODY WITH BOUND P-NITROPHENOL	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Thayer, M.M., Getzoff, E.D., Roberts, V.A.	2.3	X-RAY DIFFRACTION	0.259	0.206	False	True	IGHV2	IGKV8	Kappa	None	None	None	None	None
43ca	B	A	0	A	Hapten	NPO	P-NITROPHENOL	IMMUNOGLOBULIN	03/10/99	CRYSTALLOGRAPHIC STRUCTURE OF THE ESTEROLYTIC AND AMIDOLYTIC 43C9 ANTIBODY WITH BOUND P-NITROPHENOL	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Thayer, M.M., Getzoff, E.D., Roberts, V.A.	2.3	X-RAY DIFFRACTION	0.259	0.206	False	True	IGHV2	IGKV8	Kappa	None	None	None	None	None
43ca	F	E	0	E	Hapten	NPO	P-NITROPHENOL	IMMUNOGLOBULIN	03/10/99	CRYSTALLOGRAPHIC STRUCTURE OF THE ESTEROLYTIC AND AMIDOLYTIC 43C9 ANTIBODY WITH BOUND P-NITROPHENOL	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Thayer, M.M., Getzoff, E.D., Roberts, V.A.	2.3	X-RAY DIFFRACTION	0.259	0.206	False	True	IGHV2	IGKV8	Kappa	None	None	None	None	None
43ca	H	G	0	G	Hapten	NPO	P-NITROPHENOL	IMMUNOGLOBULIN	03/10/99	CRYSTALLOGRAPHIC STRUCTURE OF THE ESTEROLYTIC AND AMIDOLYTIC 43C9 ANTIBODY WITH BOUND P-NITROPHENOL	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Thayer, M.M., Getzoff, E.D., Roberts, V.A.	2.3	X-RAY DIFFRACTION	0.259	0.206	False	True	IGHV2	IGKV8	Kappa	None	None	None	None	None
1r3l	B	A	0	C	protein	NA	voltage-gated potassium channel	MEMBRANE PROTEIN	10/02/03	potassium channel KcsA-Fab complex in Cs+	STREPTOMYCES LIVIDANS; MUS MUSCULUS	mus musculus	mus musculus	streptomyces lividans	Zhou, Y., MacKinnon, R.	2.41	X-RAY DIFFRACTION	0.249	0.219	False	False	IGHV1	IGKV5	Kappa	None	None	None	None	None
3ab0	B	C	0	A	protein	NA	bcla protein	IMMUNE SYSTEM	11/28/09	Crystal structure of complex of the Bacillus anthracis major spore surface protein BclA with ScFv antibody fragment	BACILLUS ANTHRACIS; MUS MUSCULUS	mus musculus	mus musculus	bacillus anthracis	Streltsov, V.A.	3.09	X-RAY DIFFRACTION	0.265	0.197	False	True	IGHV5	IGKV4	Kappa	None	None	None	None	None
3ab0	E	F	0	D	protein	NA	bcla protein	IMMUNE SYSTEM	11/28/09	Crystal structure of complex of the Bacillus anthracis major spore surface protein BclA with ScFv antibody fragment	BACILLUS ANTHRACIS; MUS MUSCULUS	mus musculus	mus musculus	bacillus anthracis	Streltsov, V.A.	3.09	X-RAY DIFFRACTION	0.265	0.197	False	True	IGHV5	IGKV4	Kappa	None	None	None	None	None
7rd5	B	A	0	F	protein	NA	tetraspanin-15	CELL ADHESION	07/09/21	Crystal structure of Tspan15 large extracellular loop (Tspan15 LEL) in complex with 1C12 Fab	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Lipper, C.H., Gabriel, K.H., Seegar, T.C.M., Durr, K.L., Tomlinson, M.G., Blacklow, S.C.	3.6	X-RAY DIFFRACTION	0.309	0.271	False	True	IGHV1	IGKV15	Kappa	None	None	None	None	None
7rd5	D	C	0	E	protein	NA	tetraspanin-15	CELL ADHESION	07/09/21	Crystal structure of Tspan15 large extracellular loop (Tspan15 LEL) in complex with 1C12 Fab	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Lipper, C.H., Gabriel, K.H., Seegar, T.C.M., Durr, K.L., Tomlinson, M.G., Blacklow, S.C.	3.6	X-RAY DIFFRACTION	0.309	0.271	False	True	IGHV1	IGKV15	Kappa	None	None	None	None	None
3nz8	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	07/16/10	Crystal structure of the HIV-2 neutralizing Fab fragment 7C8	MUS MUSCULUS	mus musculus	mus musculus		Uchtenhagen, H, Friemann, R, Raszewski, G, Spetz, A-L, Nilsson, L, Achour, A	2.7	X-RAY DIFFRACTION	0.273	0.226	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
3nz8	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	07/16/10	Crystal structure of the HIV-2 neutralizing Fab fragment 7C8	MUS MUSCULUS	mus musculus	mus musculus		Uchtenhagen, H, Friemann, R, Raszewski, G, Spetz, A-L, Nilsson, L, Achour, A	2.7	X-RAY DIFFRACTION	0.273	0.226	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
6n5d	C	D	0	A	protein	NA	hemagglutinin	VIRAL PROTEIN/IMMUNE SYSTEM	11/21/18	Broadly protective antibodies directed to a subdominant influenza hemagglutinin epitope	INFLUENZA A VIRUS; MUS MUSCULUS	mus musculus	mus musculus	influenza a virus	Bajic, G., Schmidt, A.G.	3.0	X-RAY DIFFRACTION	0.244	0.217	False	True	IGHV5	IGLV1	Lambda	None	None	None	None	None
6n5d	L	N	0	K	protein	NA	hemagglutinin	VIRAL PROTEIN/IMMUNE SYSTEM	11/21/18	Broadly protective antibodies directed to a subdominant influenza hemagglutinin epitope	INFLUENZA A VIRUS; MUS MUSCULUS	mus musculus	mus musculus	influenza a virus	Bajic, G., Schmidt, A.G.	3.0	X-RAY DIFFRACTION	0.244	0.217	False	True	IGHV5	IGLV1	Lambda	None	None	None	None	None
6n5d	E	F	0	B	protein	NA	hemagglutinin	VIRAL PROTEIN/IMMUNE SYSTEM	11/21/18	Broadly protective antibodies directed to a subdominant influenza hemagglutinin epitope	INFLUENZA A VIRUS; MUS MUSCULUS	mus musculus	mus musculus	influenza a virus	Bajic, G., Schmidt, A.G.	3.0	X-RAY DIFFRACTION	0.244	0.217	False	True	IGHV5	IGLV1	Lambda	None	None	None	None	None
4wfh	G	F	0	B	protein	NA	potassium channel subfamily k member 4	METAL TRANSPORT	09/15/14	Human TRAAK K+ channel in a Tl+ bound nonconductive conformation	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Brohawn, S.G., MacKinnon, R.	3.01	X-RAY DIFFRACTION	0.239	0.203	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
4wfh	E	D	0	A	protein	NA	potassium channel subfamily k member 4	METAL TRANSPORT	09/15/14	Human TRAAK K+ channel in a Tl+ bound nonconductive conformation	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Brohawn, S.G., MacKinnon, R.	3.01	X-RAY DIFFRACTION	0.239	0.203	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
6nfu	A	B	0	C	protein	NA	ph-gated potassium channel kcsa	membrane protein, metal transport	12/20/18	Structure of the KcsA-G77A mutant or the 2,4-ion bound configuration of a K+ channel selectivity filter.	MUS MUSCULUS; STREPTOMYCES LIVIDANS	mus musculus	mus musculus	streptomyces lividans	Tilegenova, C., Cortes, D.M., Jahovic, N., Hardy, E., Parameswaran, H., Guan, L., Cuello, L.G.	2.09	X-RAY DIFFRACTION	0.224	0.210	False	True	IGHV1	IGKV5	Kappa	None	None	None	None	None
7s8n	E	E	0	B | C	protein | protein	NA | NA	gs-mini-gq chimera | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	SIGNALING PROTEIN	09/18/21	CryoEM structure of Gq-coupled MRGPRX2 with small molecule agonist (R)-Zinc-3573	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens | homo sapiens	Cao, C., Fay, J.F., Gumpper, R.H., Roth, B.L.	2.9	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
4k9e	H	L	0	C	protein	NA	mast/stem cell growth factor receptor kit	IMMUNE SYSTEM	04/19/13	Crystal structure of KIT D4D5 fragment in complex with anti-Kit antibodies Fab79D	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Resheynyak, A.V., Boggon, T.J., Lax, I., Schlessinger, J.	2.7	X-RAY DIFFRACTION	0.282	0.247	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
2bob	A	B	0	C	protein	NA	potassium channel kcsa	IMMUNE SYSTEM/TRANSPORT PROTEIN	04/09/05	Potassium channel KcsA-Fab complex in thallium with  tetrabutylammonium (TBA)	STREPTOMYCES LIVIDANS; MUS MUSCULUS	mus musculus	mus musculus	streptomyces lividans	Lenaeus, M.J., Vamvouka, M., Focia, P.J., Gross, A.	2.76	X-RAY DIFFRACTION	0.251	0.220	False	False	IGHV1	IGKV5	Kappa	None	None	None	None	None
6jhq	D	E	0	C	protein	NA	vp3	VIRUS	02/18/19	The cryo-EM structure of HAV bound to a neutralizing antibody-F4	HUMAN HEPATITIS A VIRUS HU/AUSTRALIA/HM175/1976; MUS MUSCULUS	mus musculus	mus musculus	human hepatitis a virushu/australia/hm175/1976 	Cao, L., Liu, P., Yang, P., Gao, Q., Li, H., Sun, Y., Zhu, L., Lin, J., Su, D., Rao, Z., Wang, X.	3.9	ELECTRON MICROSCOPY	NA	NA	False	False	IGHV5	IGKV4	Kappa	None	None	None	None	None
7rm0	A	B	0	P	peptide	NA	peptide from circumsporozoite protein variant vk247	ANTIMICROBIAL PROTEIN	07/26/21	Antibody 2E10.E9 in complex with P. vivax CSP peptide ANGAGNQPGANGAGNQPG	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	plasmodium vivax	Kucharska, I., Ivanochko, D., Julien, J.P.	2.71	X-RAY DIFFRACTION	0.246	0.209	False	True	IGHV9	IGKV8	Kappa	None	None	None	None	None
7rm0	E	F	0	R	peptide	NA	peptide from circumsporozoite protein variant vk247	ANTIMICROBIAL PROTEIN	07/26/21	Antibody 2E10.E9 in complex with P. vivax CSP peptide ANGAGNQPGANGAGNQPG	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	plasmodium vivax	Kucharska, I., Ivanochko, D., Julien, J.P.	2.71	X-RAY DIFFRACTION	0.246	0.209	False	True	IGHV9	IGKV8	Kappa	None	None	None	None	None
7rm0	G	H	0	S	peptide	NA	peptide from circumsporozoite protein variant vk247	ANTIMICROBIAL PROTEIN	07/26/21	Antibody 2E10.E9 in complex with P. vivax CSP peptide ANGAGNQPGANGAGNQPG	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	plasmodium vivax	Kucharska, I., Ivanochko, D., Julien, J.P.	2.71	X-RAY DIFFRACTION	0.246	0.209	False	True	IGHV9	IGKV8	Kappa	None	None	None	None	None
7rm0	C	D	0	Q	peptide	NA	peptide from circumsporozoite protein variant vk247	ANTIMICROBIAL PROTEIN	07/26/21	Antibody 2E10.E9 in complex with P. vivax CSP peptide ANGAGNQPGANGAGNQPG	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	plasmodium vivax	Kucharska, I., Ivanochko, D., Julien, J.P.	2.71	X-RAY DIFFRACTION	0.246	0.209	False	True	IGHV9	IGKV8	Kappa	None	None	None	None	None
3eyu	H	L	0	Q	peptide	NA	ror2(518-525) peptide	IMMUNE SYSTEM	10/21/08	PFA1 Fab fragment complexed with Ror2(518-525)	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus		Gardberg, A.S., Dealwis, C.G.	2.71	X-RAY DIFFRACTION	0.248	0.177	False	True	IGHV8	IGKV1	Kappa	2.40E-08	-10.21	SPR	20	19385664
7c61	H	L	0	A	protein	NA	5-hydroxytryptamine receptor 1b,soluble cytochrome b562,5-hydroxytryptamine receptor 1b 	SIGNALING PROTEIN	05/21/20	Crystal structure of 5-HT1B-BRIL and SRP2070_Fab complex	MUS MUSCULUS; HOMO SAPIENS; ESCHERICHIA COLI	mus musculus	mus musculus	homo sapiens, escherichia coli	Suzuki, M., Miyagi, H., Asada, H., Yasunaga, M., Suno, C., Takahashi, Y., Saito, J., Iwata, S.	3.0	X-RAY DIFFRACTION	0.290	0.252	False	True	IGHV1	IGKV5	Kappa	None	None	None	None	None
3iy4	B	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/09/09	Variable domains of the computer generated model (WAM) of Fab 15 fitted into the cryoEM reconstruction of the virus-Fab 15 complex	MUS MUSCULUS	mus musculus	mus musculus		Hafenstein, S., Bowman, V.D., Sun, T., Nelson, C.D., Palermo, L.M., Chipman, P.R., Battisti, A.J., Parrish, C.R., Rossmann, M.G.	11.7	ELECTRON MICROSCOPY	NA	NA	False	False	IGHV9	IGKV3	Kappa	None	None	None	None	None
4xp6	H	L	0	A	protein	NA	transporter	tranport protein/inhibitor	01/16/15	X-ray structure of Drosophila dopamine transporter bound to psychostimulant methamphetamine	DROSOPHILA MELANOGASTER; MUS MUSCULUS	mus musculus	mus musculus	drosophila melanogaster	Aravind, P., Wang, K., Gouaux, E.	3.1	X-RAY DIFFRACTION	0.259	0.236	False	False	IGHV5	IGKV4	Kappa	None	None	None	None	None
1egj	H	L	0	A	protein	NA	cytokine receptor common beta chain precursor	IMMUNE SYSTEM	02/15/00	DOMAIN 4 OF THE BETA COMMON CHAIN IN COMPLEX WITH AN ANTIBODY	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Rossjohn, J., McKinstry, W.J., Woodcock, J.M., McClure, B.J., Hercus, T.R., Parker, M.W., Lopez, A.F., Bagley, C.J.	2.8	X-RAY DIFFRACTION	0.288	0.228	False	False	IGHV1	IGKV3	Kappa	None	None	None	None	None
3uyp	A	A	0	B	protein	NA	envelope protein	IMMUNE SYSTEM	12/06/11	Crystal structure of the dengue virus serotype 4 envelope protein domain III in complex with the variable domains of Mab 4E11	MUS MUSCULUS; DENGUE VIRUS 4	mus musculus		dengue virus 4	Cockburn, J.J.B., Navarro Sanchez, M.E., Fretes, N., Urvoas, A., Staropoli, I., Kikuti, C.M., Coffey, L.L., Arenzana Seisdedos, F., Bedouelle, H., Rey, F.A.	2.0	X-RAY DIFFRACTION	0.201	0.181	True	True	unknown	unknown	unknown	None	None	None	None	None
7jgj	H	L	0	A	protein	NA	immunoglobulin a1 protease	IMMUNE SYSTEM	07/19/20	IgA1 Protease in complex with neutralizing mAb	STREPTOCOCCUS PNEUMONIAE; MUS MUSCULUS	mus musculus	mus musculus	streptococcus pneumoniae	Eisenmesser, E.Z., Zheng, H.	4.8	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
1t03	H	L	0	B	protein	NA	pol polyprotein	Transferase/Antibody/DNA	04/07/04	HIV-1 reverse transcriptase crosslinked to tenofovir terminated template-primer (complex P)	HUMAN IMMUNODEFICIENCY VIRUS 1; MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	human immunodeficiency virus 1	Tuske, S., Sarafianos, S.G., Ding, J., Arnold, E.	3.1	X-RAY DIFFRACTION	0.295	0.256	False	False	IGHV8	IGKV10	Kappa	None	None	None	None	None
7kpj	A	B	0	E	protein	NA	gram_pos_anchoring domain-containing protein	IMMUNE SYSTEM	11/11/20	Crystal structure of Ruminococcus gnavus immunoglobulin binding protein in complex with 338E6 Fab	MUS MUSCULUS; RUMINOCOCCUS GNAVUS	mus musculus	mus musculus	ruminococcus gnavus	Borowska, M.T., Adams, E.J.	2.1	X-RAY DIFFRACTION	0.266	0.229	False	True	IGHV5	IGKV6	Kappa	None	None	None	None	None
7kpj	C	D	0	F	protein	NA	gram_pos_anchoring domain-containing protein	IMMUNE SYSTEM	11/11/20	Crystal structure of Ruminococcus gnavus immunoglobulin binding protein in complex with 338E6 Fab	MUS MUSCULUS; RUMINOCOCCUS GNAVUS	mus musculus	mus musculus	ruminococcus gnavus	Borowska, M.T., Adams, E.J.	2.1	X-RAY DIFFRACTION	0.266	0.229	False	True	IGHV5	IGKV6	Kappa	None	None	None	None	None
